Date	Distance	Pace	Total
2/17/2018	4.03	488	4.03
2/25/2018	4.31	536	8.34
2/28/2018	0.56	480	8.9
3/12/2018	3.18	434	12.08
3/16/2018	4.02	475	16.1
3/17/2018	3.22	444	19.32
3/18/2018	3.56	496	22.88
3/30/2018	3.15	576	26.03
4/5/2018	3.34	456	29.37
4/7/2018	3.38	451	32.75
4/8/2018	6.52	467	39.27
4/15/2018	3.58	488	42.85
4/19/2018	3.23	444	46.08
4/22/2018	4.01	437	50.09
4/25/2018	2.01	405	52.1
4/30/2018	3.98	439	56.08
5/1/2018	3.00	440	59.08
5/8/2018	4.00	426	63.08
5/15/2018	3.00	480	66.08
5/16/2018	3.40	497	69.48
5/19/2018	3.37	464	72.85
5/23/2018	3.01	439	75.86
5/28/2018	2.00	450	77.86
5/29/2018	3.26	451	81.12

